Year,Biomass ,Coal,Geothermal,Hydroelectric,Natural Gas (Excluding Supplemental Gaseous Fuels),Nuclear,Petroleum (Excluding Biofuels),Solar,Wind
1949,1.549262,11.980905,N/A,1.424722,5.145142,0,11.882722,N/A,N/A
1950,1.562307,12.347109,N/A,1.415411,5.968371,0,13.315484,N/A,N/A
1951,1.534669,12.552996,N/A,1.423795,7.048518,0,14.428043,N/A,N/A
1952,1.474369,11.306479,N/A,1.465812,7.549621,0,14.955682,N/A,N/A
1953,1.418601,11.372684,N/A,1.412859,7.906645,0,15.555829,N/A,N/A
1954,1.394327,9.714667,N/A,1.359772,8.330202,0,15.839176,N/A,N/A
1955,1.424143,11.167259,N/A,1.359844,8.997935,0,17.254955,N/A,N/A
1956,1.415871,11.349723,N/A,1.434711,9.613975,0,17.937473,N/A,N/A
1957,1.333581,10.820631,N/A,1.515613,10.190753,0.000112,17.931667,N/A,N/A
1958,1.323123,9.533287,N/A,1.591967,10.663199,0.001915,18.526937,N/A,N/A
1959,1.352874,9.518353,N/A,1.548465,11.717422,0.002187,19.32265,N/A,N/A
1960,1.31987,9.837785,0.000359,1.607975,12.385366,0.006026,19.91923,N/A,N/A
1961,1.294762,9.623351,0.001001,1.656463,12.926392,0.019678,20.216387,N/A,N/A
1962,1.300242,9.906454,0.001061,1.816141,13.730841,0.026394,21.048981,N/A,N/A
1963,1.323316,10.412538,0.00176,1.771355,14.403306,0.038147,21.700828,N/A,N/A
1964,1.336802,10.964385,0.002132,1.886314,15.28785,0.039819,22.301257,N/A,N/A
1965,1.334761,11.580608,0.001978,2.059077,15.768667,0.043164,23.24568,N/A,N/A
1966,1.368985,12.14308,0.001958,2.061519,16.995332,0.064158,24.400523,N/A,N/A
1967,1.340249,11.91375,0.0033,2.346664,17.944788,0.088456,25.283661,N/A,N/A
1968,1.419495,12.330677,0.004532,2.348629,19.209656,0.141534,26.979447,N/A,N/A
1969,1.440487,12.38154,0.006422,2.647983,20.677984,0.153722,28.338336,N/A,N/A
1970,1.430962,12.264528,0.005511,2.633547,21.794707,0.239347,29.520695,N/A,N/A
1971,1.432323,11.598411,0.005739,2.824151,22.469052,0.412939,30.56129,N/A,N/A
1972,1.503065,12.076917,0.015079,2.863865,22.69819,0.583752,32.946738,N/A,N/A
1973,1.529068,12.97149,0.020422,2.861448,22.512399,0.910177,34.837435,N/A,N/A
1974,1.539662,12.662878,0.02561,3.17658,21.732488,1.272083,33.45366,N/A,N/A
1975,1.498734,12.662786,0.03378,3.154607,19.947883,1.899798,32.732323,N/A,N/A
1976,1.713373,13.584067,0.037513,2.976265,20.345426,2.111121,35.177782,N/A,N/A
1977,1.838332,13.922103,0.037382,2.333252,19.930513,2.701762,37.12398,N/A,N/A
1978,2.037605,13.765575,0.030851,2.936983,20.0004,3.024126,37.962821,N/A,N/A
1979,2.151906,15.039586,0.040262,2.930686,20.665817,2.775827,37.122274,N/A,N/A
1980,2.4755,15.422809,0.052699,2.900144,20.235459,2.739169,34.20452,N/A,N/A
1981,2.596283,15.907526,0.059437,2.757968,19.74731,3.007589,31.932206,N/A,N/A
1982,2.663452,15.321581,0.050627,3.265558,18.356222,3.131148,30.232226,N/A,N/A
1983,2.904414,15.894442,0.06391,3.52726,17.220836,3.202549,30.052216,N/A,0.000028
1984,2.97112,17.070622,0.080811,3.385811,18.393613,3.552531,31.053237,0.000055,0.000068
1985,3.016233,17.478428,0.097421,2.970192,17.703482,4.075563,30.924732,0.000111,0.00006
1986,2.932095,17.260405,0.107677,3.071179,16.591364,4.380109,32.19826,0.000147,0.000044
1987,2.874884,18.008451,0.11227,2.634508,17.639801,4.753933,32.863733,0.000109,0.000037
1988,3.016049,18.846312,0.106338,2.334265,18.448393,5.586968,34.222795,0.000094,0.000009
1989,3.159357,19.069762,0.161539,2.837263,19.601693,5.602161,34.209296,0.05441,0.022033
1990,2.735112,19.172635,0.170747,3.046391,19.603167,6.10435,33.551623,0.058704,0.029007
1991,2.781797,18.99167,0.177626,3.015943,20.032958,6.422132,32.846032,0.061551,0.030796
1992,2.931678,19.122471,0.178699,2.617436,20.713632,6.479206,33.524957,0.062802,0.029863
1993,2.908172,19.835148,0.185673,2.891613,21.228902,6.410499,33.68724,0.065104,0.030987
1994,3.027534,19.909463,0.173464,2.683457,21.728067,6.693877,34.557545,0.067031,0.03556
1995,3.101142,20.088727,0.152057,3.205307,22.671139,7.075436,34.441046,0.068123,0.03263
1996,3.156806,21.001914,0.163359,3.589656,23.084647,7.086674,35.674967,0.069008,0.03344
1997,3.10522,21.445411,0.166698,3.640458,23.222716,6.596992,36.15848,0.068027,0.033581
1998,2.92749,21.655744,0.16845,3.297054,22.830226,7.067809,36.817372,0.067292,0.030853
1999,2.96329,21.622544,0.170921,3.267575,22.909227,7.610256,37.836036,0.065882,0.045894
