Year,Biomass,Coal,Crude Oil,Geothermal,Hydroelectric,Natgas (dry production),Nuclear,Solar,Wind,GDP
1949,1.549262,11.973882,10.683252,N/A,1.424722,5.377243,0,N/A,N/A,2E+12
1950,1.562307,14.060135,11.446729,N/A,1.415411,6.232975,0,N/A,N/A,2.27E+12
1951,1.534669,14.419325,13.036724,N/A,1.423795,7.415733,0,N/A,N/A,2.40E+12
1952,1.474369,12.734313,13.281049,N/A,1.465812,7.963599,0,N/A,N/A,2.53E+12
1953,1.418601,12.277746,13.671076,N/A,1.412859,8.338838,0,N/A,N/A,2.54E+12
1954,1.394327,10.542448,13.42693,N/A,1.359772,8.681785,0,N/A,N/A,2.61E+12
1955,1.424143,12.369608,14.409682,N/A,1.359844,9.344668,0,N/A,N/A,2.78E+12
1956,1.415871,13.306334,15.180241,N/A,1.434711,10.002147,0,N/A,N/A,2.84E+12
1957,1.333581,13.061393,15.178026,N/A,1.515613,10.605254,0.000112,N/A,N/A,2.85E+12
1958,1.323123,10.783088,14.204125,N/A,1.591967,10.942235,0.001915,N/A,N/A,2.92E+12
1959,1.352874,10.777984,14.932622,N/A,1.548465,11.951826,0.002187,N/A,N/A,3.06E+12
1960,1.31987,10.817398,14.934611,0.000359,1.607975,12.656133,0.006026,N/A,N/A,3.08E+12
1961,1.294762,10.447091,15.206196,0.001001,1.656463,13.104734,0.019678,N/A,N/A,3.28E+12
1962,1.300242,10.90056,15.521896,0.001061,1.816141,13.716861,0.026394,N/A,N/A,3.42E+12
1963,1.323316,11.849229,15.965793,0.00176,1.771355,14.512781,0.038147,N/A,N/A,3.60E+12
1964,1.336802,12.523881,16.163568,0.002132,1.886314,15.298396,0.039819,N/A,N/A,3.78E+12
1965,1.334761,13.055285,16.521381,0.001978,2.059077,15.775441,0.043164,N/A,N/A,4.10E+12
1966,1.368985,13.467679,17.561025,0.001958,2.061519,17.010742,0.064158,N/A,N/A,4.29E+12
1967,1.340249,13.825487,18.651304,0.0033,2.346664,17.943168,0.088456,N/A,N/A,4.40E+12
1968,1.419495,13.608678,19.308444,0.004532,2.348629,19.067853,0.141534,N/A,N/A,4.62E+12
1969,1.440487,13.863346,19.556156,0.006422,2.647983,20.446462,0.153722,N/A,N/A,4.72E+12
