Annual Total,Biofuels Production (Trillion Btu),Total Biomass Energy Production (Trillion Btu),Total Renewable Energy Production (Trillion Btu),Hydroelectric Power Consumption (Trillino Btu),Geothermal Energy Consumption (Trillion Btu),Solar Energy Consumption (Trillion Btu),Wind Energy Consumption (Trillion Btu),Wood Energy Consumption (Trillion Btu),Waste Energy Consumption (Trillion Btu),Biofuels Consumption (Trillion Btu),Total Biomass Energy Consumption (Trillion Btu),Total Renewable Energy Consumption (Trillino Btu)
1949,N/A,1549.262,2973.984,1424.722,N/A,N/A,N/A,1549.262,N/A,N/A,1549.262,2973.984
1950,N/A,1562.307,2977.718,1415.411,N/A,N/A,N/A,1562.307,N/A,N/A,1562.307,2977.718
1951,N/A,1534.669,2958.464,1423.795,N/A,N/A,N/A,1534.669,N/A,N/A,1534.669,2958.464
1952,N/A,1474.369,2940.181,1465.812,N/A,N/A,N/A,1474.369,N/A,N/A,1474.369,2940.181
1953,N/A,1418.601,2831.46,1412.859,N/A,N/A,N/A,1418.601,N/A,N/A,1418.601,2831.46
1954,N/A,1394.327,2754.099,1359.772,N/A,N/A,N/A,1394.327,N/A,N/A,1394.327,2754.099
1955,N/A,1424.143,2783.987,1359.844,N/A,N/A,N/A,1424.143,N/A,N/A,1424.143,2783.987
1956,N/A,1415.871,2850.582,1434.711,N/A,N/A,N/A,1415.871,N/A,N/A,1415.871,2850.582
1957,N/A,1333.581,2849.194,1515.613,N/A,N/A,N/A,1333.581,N/A,N/A,1333.581,2849.194
1958,N/A,1323.123,2915.09,1591.967,N/A,N/A,N/A,1323.123,N/A,N/A,1323.123,2915.09
1959,N/A,1352.874,2901.339,1548.465,N/A,N/A,N/A,1352.874,N/A,N/A,1352.874,2901.339
1960,N/A,1319.87,2928.204,1607.975,0.359,N/A,N/A,1319.87,N/A,N/A,1319.87,2928.204
1961,N/A,1294.762,2952.226,1656.463,1.001,N/A,N/A,1294.762,N/A,N/A,1294.762,2952.226
